stream,meter,diameters (cm)
WS09,10,0.25
WS09,10,0.25
WS09,10,0.25
WS09,10,0.25
WS09,10,0.25
WS09,10,0.25
WS09,10,0.25
WS09,10,0
WS09,10,0
WS09,10,0
WS09,10,0
WS09,10,0
WS09,10,0
WS09,10,0
WS09,5,0.8
WS09,5,0.7
WS09,5,0.9
WS09,5,0.25
WS09,5,0.25
WS09,5,0.25
WS09,5,0.25
WS09,5,0.25
WS09,5,0.25
WS09,5,0.25
WS09,5,0.25
WS09,5,0
WS09,5,0
WS09,5,0
WS09,5,0
WS09,5,0
WS09,5,0
WS09,5,0
WS09,5,0
WS09,5,0
WS09,5,0
WS09,0,1.2
WS09,0,0.6
WS09,0,3.566878981
WS09,0,2.8
WS09,0,1.3
WS09,0,2.3
WS09,0,1.9
WS09,0,0.25
WS09,0,0.25
WS09,0,0.25
WS09,0,0.25
WS09,0,0.25
WS09,0,0.25
